BasePizza;Impasto;Ingredienti
Napoletana;Normale;Funghi, Crudo
Pepperoni;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto
Margherita;Integrale;Ananas
Napoletana;Normale;Funghi, Crudo
Napoletana;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Normale;Prosciutto cotto, Crudo
Napoletana;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto, Crudo
Pepperoni;Normale;Ananas
Napoletana;Integrale;Funghi
Napoletana;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Normale;Ananas
Pepperoni;Integrale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto, Crudo
Napoletana;Normale;Funghi, Crudo
Margherita;Normale;Ananas
Napoletana;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Normale;Funghi
Napoletana;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Funghi, Crudo
Napoletana;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Margherita;Normale;Funghi
Napoletana;Normale;Prosciutto cotto, Crudo
Napoletana;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto, Crudo
Napoletana;Integrale;Crudo, Ananas
Margherita;Normale;Funghi
Napoletana;Integrale;Crudo, Ananas
Margherita;Integrale;Prosciutto cotto
Pepperoni;Normale;Funghi
Napoletana;Integrale;Prosciutto cotto
Pepperoni;Normale;Prosciutto cotto
Pepperoni;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Margherita;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Funghi, Crudo
Napoletana;Normale;Ananas
Margherita;Integrale;Crudo, Ananas
Napoletana;Normale;Ananas
Margherita;Integrale;Crudo, Ananas
Margherita;Normale;Funghi
Margherita;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Funghi
Pepperoni;Integrale;Funghi, Crudo
Pepperoni;Normale;Prosciutto cotto, Crudo
Pepperoni;Integrale;Funghi, Crudo
