Pepperoni Normale, Funghi, Crudo => 11
Napoletana Normale, Cotto, Crudo => 6
Napoletana Integrale, Cotto, Crudo => 7
Margherita Integrale, Crudo, Ananas => 0
Margherita Integrale, Cotto, Crudo => 9
Napoletana Normale, Funghi => 5
Pepperoni Integrale, Cotto, Funghi, Crudo, Ananas => 0
Pepperoni Normale, Crudo, Ananas => 0
Napoletana Integrale, Funghi => 6
Pepperoni Normale, Cotto, Funghi, Crudo, Ananas => 0
Pepperoni Integrale, Cotto => 9
Margherita Integrale, Crudo, Ananas => 0
Pepperoni Normale, Funghi, Crudo => 11
Pepperoni Normale, Cotto, Crudo => 10
Napoletana Integrale, Cotto, Crudo => 7
Pepperoni Normale, Funghi, Crudo => 11
Napoletana Normale, Cotto, Crudo => 6
Napoletana Integrale, Ananas => 0
Pepperoni Integrale, Cotto, Funghi, Crudo, Ananas => 0
Napoletana Integrale, Funghi => 6
Margherita Normale, Crudo, Ananas => 0
Margherita Normale, Crudo, Ananas => 0
Napoletana Normale, Funghi, Crudo => 7
Margherita Integrale, Ananas => 0
Pepperoni Integrale, Cotto, Crudo => 11
Pepperoni Integrale, Cotto, Crudo => 11
Margherita Integrale, Cotto => 7
Margherita Normale, Crudo, Ananas => 0
Margherita Normale, Cotto, Crudo => 8
Margherita Integrale, Cotto, Funghi, Crudo, Ananas => 0
Napoletana Normale, Cotto, Crudo => 6
Pepperoni Integrale, Funghi, Crudo => 12
Margherita Integrale, Funghi, Crudo => 10
Pepperoni Normale, Crudo, Ananas => 0
Margherita Normale, Ananas => 0
Margherita Integrale, Funghi, Crudo => 10
Pepperoni Integrale, Cotto => 9
Margherita Integrale, Cotto, Crudo => 9
Pepperoni Normale, Funghi => 9
Pepperoni Normale, Crudo, Ananas => 0
Margherita Normale, Cotto, Crudo => 8
Margherita Normale, Funghi, Crudo => 9
Margherita Normale, Cotto, Funghi, Crudo, Ananas => 0
Napoletana Integrale, Funghi => 6
Pepperoni Normale, Cotto, Funghi, Crudo, Ananas => 0
Pepperoni Integrale, Cotto => 9
Margherita Normale, Crudo, Ananas => 0
Napoletana Normale, Cotto, Crudo => 6
Margherita Integrale, Cotto, Funghi, Crudo, Ananas => 0
Pepperoni Normale, Cotto, Crudo => 10
Totale ordine : 261
